a 安 爱 阿 啊 按 案 暗 岸 奥 唉 碍 矮 哀 昂 傲 挨 袄 埃 呵 哎 澳 艾 氨 俺 癌 凹 鞍 懊 熬 隘
a1 阿 啊 呵 腌 吖 锕 錒
a2 嗄 呵 啊
a3 呵 啊
a4 呵 啊
a5 啊 阿
aba 阿爸
aibushishou 爱不释手
aicairuke 爱才如渴
aicairuming 爱财如命
aicairuoke 爱才若渴
aichao 爱巢
aicheng 爱称
aichou 哀愁
aici 哀辞
aici 挨次
aida 挨打
aidabuli 爱答不理
aidai 叆叇
aidai 爱戴
aidao 哀悼
aide 爱的
aidimeidunshu 哀的美敦书
aidundun 矮墩墩
aierbushang 哀而不伤
aifengjifeng 挨风缉缝
aifu 爱抚
aigantiandi 哀感天地
aiganwanyan 哀感顽艳
aiganzhongnian 哀感中年
aigaobinfu 哀告宾服
aige 挨个
aigeer 挨个儿
aiguo 爱国
aiguorujia 爱国如家
aiguowo 爱过我
aiguozhe 爱国者
aiguozhuyi 爱国主义
aihao 哀号
aihao 哀嚎
aihao 爱好
aihaozhe 爱好者
aihe 爱河
aiheshizhong 爱鹤失众
aihongbianye 哀鸿遍野
aihu 爱护
aihu 艾虎
aihui 瑷珲
aihuiguli 哀毁骨立
aijiaaihu 挨家挨户
aijianbingzu 挨肩并足
aijiancabang 挨肩擦膀
aijiancabei 挨肩擦背
aijiancalian 挨肩擦脸
aijiandabei 挨肩搭背
aijianer 挨肩儿
aijie 娭毑
aijin 哀矜
aijin 挨近
aikesishexian 爱克斯射线
aikou 隘口
aikoushixiu 碍口识羞
aiku 哀苦
ailai 爱来
ailian 哀怜
ailian 爱怜
ailian 爱恋
ailibuli 爱理不理
ailicunyang 爱礼存羊
ailisi 爱丽丝
ailizhengshi 哀梨蒸食
ailu 隘路
aimei 暧昧
aimeibuming 暧昧不明
aimeide 爱美的
aimeizhiqing 暧昧之情
aimenzhuhu 挨门逐户
aimianzi 爱面子
aimianzi 碍面子
aiminruzi 爱民如子
aimodayuxinsi 哀莫大于心死
aimonengzhu 爱莫能助
aimu 爱慕
ainai 欸乃
ainan 碍难
aini 僾尼
aini 爱你
aipai 爱拍
aipi 挨批
aiqi 哀启
aiqi 哀戚
aiqi 哀泣
aiqi 嗳气
aiqianruming 爱钱如命
aiqie 哀切
aiqing 爱情
aiqingde 爱情的
aiqiu 哀求
aiqubuqu 爱去不去
airankeqin 蔼然可亲
airanrenzhe 蔼然仁者
airen 爱人
airenhaoshi 爱人好士
airenkanchang 矮人看场
airenliwu 爱人利物
airenyide 爱人以德
airixili 爱日惜力
airong 哀荣
airong 艾绒
airujichu 爱如己出
airuzhenbao 爱如珍宝
aisandingwu 挨三顶五
aishang 哀伤
aishang 爱上
aishansehai 挨山塞海
aishengtanqi 唉声叹气
aishi 碍事
aishouaijiao 碍手碍脚
aisi 哀思
aisihaozhu 哀丝豪竹
aisijimoren 爱斯基摩人
aisuan 嗳酸
aisuhaogu 爱素好古
aitan 哀叹
aitianjiaodi 哀天叫地
aitong 哀恸
aitongyujue 哀痛欲绝
aiwan 哀婉
aiwo 爱我
aiwowo 爱窝窝
aiwowo 艾窝窝
aiwujiwu 爱屋及乌
aixi 爱惜
aixiao 爱小
aixiao 矮小
aixin 爱心
aixing 矮星
aixiyumao 爱惜羽毛
aiya 哎呀
aiyan 哀艳
aiyan 碍眼
aiyaya 哎呀呀
aiyi 爱意
aiyinsitan 爱因斯坦
aiyo 哎哟
aiyongbuyong 爱用不用
aiyongsha 爱用啥
aiyuan 哀怨
aizaishenqiu 爱在深秋
aizengfenming 爱憎分明
aizhe 挨着
aizheng 癌症
aizhiyuqisheng 爱之欲其生，恶之欲其死
aizhong 爱重
aizi 哀子
aizibing 艾滋病
aizikanxi 矮子看戏
ala 阿拉
alaboren 阿拉伯人
alaboshuzi 阿拉伯数字
alanre 阿兰若
aluohan 阿罗汉
amaoagou 阿猫阿狗
amen 阿门
amulin 阿木林
an 安 案 暗 按 岸 俺 黯 庵 鞍 谙 氨 胺 鹌 桉 犴 唵 盫 揞 铵 菴 諳 闇 鮟 侒 厈 媕 峖 広 痷 盦 腤 萻 葊 蓭 誝 阥 鞌 韽 鵪 鶕 䜙 啽 玵 雸 㜝 㽢 䅖 垵 埯 堷 晻 罯 銨 隌 㟁 㱘 㸩 䅁 䎏 䎨 䬓 䮗 䯥 儑 匎 匼 堓 婩 洝 荌 豻 貋 錌 黬
an1 安 庵 鞍 谙 氨 鹌 桉 盫 諳 侒 厈 媕 峖 広 痷 盦 腤 萻 葊 蓭 誝 阥 鞌 韽 鵪 鶕
an2 䜙 啽 玵 雸
an3 俺 唵 揞 铵 㜝 㽢 䅖 垵 埯 堷 晻 罯 銨 隌
an4 案 暗 按 岸 黯 胺 犴 菴 闇 鮟 㜝 㟁 㱘 㸩 䅁 䎏 䎨 䬓 䮗 䯥 儑 匎 匼 堓 婩 洝 荌 豻 貋 錌 黬
anan 暗暗
ananjingjing 安安静静
anannamen 暗暗纳闷
ananwenwen 安安稳稳
anba 暗坝
anban 案板
anbangdingguo 安邦定国
anbangzhiguo 安邦治国
anbao 暗堡
anbi 鞍鼻
anbian 岸边
anbiao 岸标
anbingbudong 按兵不动
anbu 安瓿
anbudangche 安步当车
anbujiuban 按部就班
anbuwangwei 安不忘危
ancang 暗藏
ancha 安插
anchan 鞍韂
anchang 暗场
anchang 暗娼
anchangchushun 安常处顺
anchangshougu 安常守故
anchao 暗潮
ancheng 案秤
anchepulun 安车蒲轮
anchun 鹌鹑
ancuo 安厝
ancuo 按错
anda 谙达
andan 黯淡
andanwuguang 暗淡无光
andao 按到
andao 暗道
andi 案底
andian 按点
andili 暗地里
anding 安定
anduchencang 暗度陈仓
andulaoxing 案牍劳形
anduleye 安堵乐业
andun 安顿
andurugu 安堵如故
anfan 案犯
anfang 安放
anfang 暗房
anfenshouji 安分守己
anfenzhizu 安分知足
anfou 安否
anfu 安抚
anfuxupin 安富恤贫
anfuzunrong 安富尊荣
ang 昂 肮 盎 骯 㭿 䀚 䒢 䩕 䭹 䭺 卬 岇 昻 䍩 䬓 軮 㦹 㼜 枊 醠
ang1 肮 骯
ang2 昂 㭿 䀚 䒢 䩕 䭹 䭺 卬 岇 昻
ang3 䍩 䬓 軮
ang4 盎 㦹 㼜 枊 醠
angang 昂昂
angcangqichi 昂藏七尺
ange 安格
angfen 昂奋
anggelusakexunren 盎格鲁撒克逊人
anggui 昂贵
angou 暗沟
angranzide 昂然自得
angshoukuobu 昂首阔步
angshoushenmei 昂首伸眉
angshoutianwai 昂首天外
angshoutingxiong 昂首挺胸
angshouwangtian 昂首望天
angsi 盎司
angyuxiangji 盎盂相击
angyuxiangqiao 盎盂相敲
angzang 肮脏
anhai 暗害
anhan 暗含
anhao 安好
anhao 暗号
anhe 暗合
anhe 暗盒
anhei 黯黑
anhuaer 暗花儿
anhundingpo 安魂定魄
anhuo 暗火
anji 暗疾
anjialiye 安家立业
anjialuohu 安家落户
anjian 按键 安检 案件
anjian 鞍鞯
anjianer 暗间儿
anjiannanfang 暗箭难防
anjianrenyuan 安检人员
anjianshangren 暗箭伤人
anjiao 暗礁
anjiaqinbing 按甲寝兵
anjiaxiubing 按甲休兵
anjie 按揭
anjier 暗记儿
anjin 按金
anjing 安静
anjing 暗井
anjisuan 氨基酸
anjuan 案卷
anjuleye 安居乐业
ankang 安康
ankang 鮟鱇
ankouer 按扣儿
anlan 安澜
anlaohuaishao 安老怀少
anle 安了
anlesi 安乐死
anlewo 安乐窝
anli 按例
anli 按理
anli 暗里
anli 案例
anlian 暗恋
anlian 谙练
anliangchubao 安良除暴
anlihui 安理会
anliu 暗流
anlouzi 暗楼子
anma 暗码
anmai 按脉
anmalaodun 鞍马劳顿
anmalaokun 鞍马劳困
anmeidaiyan 安眉带眼
anmeizhishi 暗昧之事
anmen 俺们
anmenzi 暗门子
anmi 安谧
anmian 安眠
anmingaoshi 安民告示
anmingzeshi 按名责实
anmo 按摩
anmoqi 按摩器
anmu 案目
anna 按纳
annabuzhu 按捺不住
anneirangwai 安内攘外
anning 安宁
anniu 按钮
anniutubiao 按钮图标
annuali 按奴阿里
anpai 安排
anpan 暗盘
anpei 安培
anpeiji 安培计
anpeixuxing 按辔徐行
anpinledao 安贫乐道
anpinlejian 安贫乐贱
anqi 按期
anqi 暗器
anqianmahou 鞍前马后
anqiannao 暗气暗恼
anqier 安琪儿
anqing 安庆
anqing 案情
anqu 安去
anquan 安全
anquandao 安全岛
anquandeng 安全灯
anquandianya 安全电压
anquangan 安全感
anquanlishihui 安全理事会
anquanmen 安全门
anquanmoshi 安全模式
anquantaojian 安全套见
anquantidao 安全剃刀
anquanweishi 安全卫士
anquanxing 安全性
anquanxishu 安全系数
anranshangshen 黯然伤神
anranshise 黯然失色
anranwushi 安然无事
anranwuyang 安然无恙
anranxiaohun 黯然销魂
anrenwuqin 安忍无亲
anruo 暗弱
anrupanshi 安如磐石
anrutaishan 安如泰山
ansha 暗杀
ansha 暗沙
anshang 暗伤
anshao 暗哨
anshe 安设
anshe 暗射
ansheditu 暗射地图
anshen 安神
ansheng 安生
anshenliming 安身立命
anshenweile 安身为乐
anshenzhidi 安身之地
anshi 按时 暗示
anshibuqi 暗室不欺
anshichushun 安时处顺
anshifengdeng 暗室逢灯
anshikuixin 暗室亏心
anshilichu 安室利处
anshiqiuwu 暗室求物
anshiqixin 暗室欺心
anshiruchang 安适如常
anshu 桉树
anshu 谙熟
anshui 安睡
anshuo 按说
ansongqiubo 暗送秋波
ansuan 暗算
ansuo 暗锁
antai 安泰
antan 暗探
antan 暗滩
antang 庵堂
antian 安恬
antie 安帖
antou 案头
antougongzuo 案头工作
antuo 安妥
antusuoji 按图索骥
antuzhongqian 安土重迁
anwei 安慰 安危
anweixiangyi 安危相易
anwutianri 暗无天日
anwuzhi 暗物质
anxi 安息
anxi 暗喜
anxia 按下
anxia 暗下
anxia 暗匣
anxiahulufuqipiao 按下葫芦浮起瓢
anxian 暗线
anxiang 安详
anxiang 暗箱
anxiangcaozuo 暗箱操作
anxiangshuying 暗香疏影
anxianzizai 安闲自在
anxiao 暗笑
anxie 安歇
anxin 安心
anxindingzhi 安心定志
anxingziyi 按行自抑
anxiri 安息日
anya 按压
anyan 按验
anyan 案验
anyi 安逸
anying 安营
anying 暗影
anyingzhazhai 安营扎寨
anyou 案由
anyu 按语
anyu 暗喻
anyu 暗语
anyu 案语
anyuxianzhuang 安于现状
anyuyiyu 安于一隅
anzang 安葬
anzhaizhenglu 安宅正路
anzhao 按照
anzhenerwo 安枕而卧
anzhi 安置
anzhi 案值
anzhiruoming 安之若命
anzhiruosu 安之若素
anzhong 暗中
anzhongmosuo 暗中摸索
anzhu 按住
anzhuan 暗转
anzhuang 安装
anzhuangban 安装版
anzhuangbao 安装包
anzhuangmulu 安装目录
anzhuangpan 安装盘
anzi 垵子
anzi 埯子
anzi 庵子
anzi 暗自
anzi 案子
anzi 鞍子
anzuodaibi 安坐待毙
ao 奥 傲 澳 熬 鳌 袄 凹 懊 敖 嗷 翱 遨 媪 坳 骜 螯 鏖 獒 奧 囂 聱 岙 鏊 廒 襖 摮 磝 垇 柪 梎 軪 㟼 㠂 㿰 䐿 䚫 䥝 䦋 䵅 厫 嗸 嶅 滶 爊 獓 璈 簢 翶 翺 蔜 謷 謸 隞 鰲 鷔 鼇 㑃 㤇 䞝 䯠 䴈 媼 抝 芺 镺 鴁 㕭 㘬 㘭 㜜 㜩 㠗 㥿 䁱 䜒 䫨 䮯 墺 奡 嫯 嶴 慠 扷 擙 澚 詏 驁
ao1 熬 凹 坳 垇 柪 梎 軪
ao2 熬 鳌 敖 嗷 翱 遨 骜 螯 鏖 獒 囂 聱 廒 摮 磝 㟼 㠂 㿰 䐿 䚫 䥝 䦋 䵅 厫 嗸 嶅 滶 爊 獓 璈 簢 翶 翺 蔜 謷 謸 隞 鰲 鷔 鼇
ao3 袄 媪 襖 㑃 㤇 䞝 䯠 䴈 媼 抝 芺 镺 鴁
ao4 奥 傲 澳 懊 坳 骜 奧 岙 鏊 㕭 㘬 㘭 㜜 㜩 㠗 㥿 䁱 䐿 䜒 䫨 䮯 䯠 垇 墺 奡 嫯 嶴 慠 扷 擙 澚 詏 謸 驁
aoa 熬啊
aoan 傲岸
aoao 嗷嗷
aoaodaibu 嗷嗷待哺
aobama 奥巴马
aoban 凹版
aobao 敖包
aobo 奥博
aobukezhang 傲不可长
aochangguadu 熬肠刮肚
aodaliya 澳大利亚
aodao 熬到
aodi 奥迪
aogengshouye 熬更守夜
aogulinlin 傲骨嶙嶙
aohen 懊恨
aohuiwuji 懊悔无及
aojian 熬煎
aojiangxiacu 熬姜呷醋
aokang 澳抗
aokou 拗口
aokouling 拗口令
aolinpikeyundonghui 奥林匹克运动会
aomanbuxun 傲慢不逊
aomanshaoli 傲慢少礼
aomao 澳毛
aomen 澳门
aomenbi 澳门币
aomi 奥秘
aomianjing 凹面镜
aomiaowuqiong 奥妙无穷
aomo 熬磨
aonao 懊恼
aonao 懊憹
aonidezhi 傲睨得志
aoniwanwu 傲睨万物
aoniyishi 傲睨一世
aoniziruo 傲睨自若
aoqi 傲气
aoqingshoudan 熬清守谈
aoranyili 傲然屹立
aosai 奥塞 奥赛
aosang 懊丧
aoshan 鳌山
aoshi 傲视
aoshiqingwu 傲世轻物
aoshuangdouxue 傲霜斗雪
aosika 奥斯卡
aotouaonao 傲头傲脑
aotouer 熬头儿
aotoujing 凹透镜
aotuo 奥拓
aoxian 凹陷
aoxiang 翱翔
aoxianmanshi 傲贤慢士
aoxinfeili 熬心费力
aoxing 熬刑
aoxuelingshuang 傲雪凌霜
aoxueqishuang 傲雪欺霜
aoye 熬夜
aoyi 奥义
aoyou 傲游
aoyou 遨游
aoyuan 奥援
aoyun 奥运
aoyunban 奥运版
aoyuncun 奥运村
aoyunhou 奥运后
aoyunhui 奥运会
aoyunhuoju 奥运火炬
aoyunkaimushi 奥运开幕式
aozao 懊糟
aozhan 鏖战
aozhi 奥旨
aozhoudalongxia 澳洲大龙虾
aozi 鏊子
aozuwei 奥组委
apian 阿片
apo 阿婆
aqin 吖嗪
aqiu 阿丘
aqiu 阿Ｑ
asan 阿三
ati 阿嚏
awei 阿伟
aya 啊呀
ayi 阿姨
ayo 啊哟
aza 腌臜
b 不 把 部 本 表 百 比 八 便 白 别 变 边 报 北 必 被 并 帮 保 布 步 办 半 备 病 兵 板 般 标 巴 罢 包 吧 波 背 班 播 编 补 辨 宝 倍 毕 笔 败 爸 拜 冰 壁 版 摆 抱 胞 闭 伯 遍 杯 暴 薄 博 避 彼 剥 贝 奔 爆 玻 捕 辈 辟 辩 拔 棒 宾 币 鼻 悲 搬 饼 臂 饱 斑 逼 拔 伴 丙 柏 柄 霸 堡 鄙 卜 弊 膀 滨 泊 碧 拌 碑 鞭 坝 驳 怖 蔽 毙 扁 扮 榜 傍 绑 瓣 脖 膊 搏 辫 扒 雹 笨 蹦 疤 菠 邦 彪 泵 勃 渤 蝙 舶 卑 磅 颁 崩 叭 扳 庇 耙 薄 芭 蚌 哺 秉 彬
ba 把 吧 八 巴 爸 罢 拔 霸 坝 叭 扒 疤 芭 跋 靶 笆 岜 耙 杷 粑 罷 钹 灞 魃 钯 捌 鈀 鲅 菝 仈 哵 夿 朳 玐 紦 羓 豝 釟 魞 鲃 㔜 㧊 䟦 䳁 䳊 叐 坺 墢 妭 抜 炦 犮 秡 笩 胈 茇 茷 詙 軷 鈸 颰 馛 鼥 㞎 欛 㖠 㶚 䃻 䆉 䇑 䎬 䎱 䥯 䩗 䩻 䰾 䱝 垻 壩 弝 猈 覇 鮁 鮊 鲌
ba1 吧 八 巴 叭 扒 疤 芭 笆 岜 粑 捌 仈 哵 夿 朳 玐 紦 羓 豝 釟 魞 鲃
ba2 拔 跋 钹 魃 菝 㔜 㧊 䟦 䳁 䳊 叐 坺 墢 妭 抜 炦 犮 秡 笩 胈 茇 茷 詙 軷 鈸 颰 馛 鼥
ba3 把 靶 钯 鈀 㞎 欛
ba4 把 爸 罢 霸 坝 耙 罷 灞 鲅 㖠 㶚 䃻 䆉 䇑 䎬 䎱 䥯 䩗 䩻 䰾 䱝 垻 壩 弝 欛 猈 覇 鮁 鮊 鲃 鲌
ba5 吧 杷 罷
baba 爸爸 巴巴
baba 粑粑
babaerde 巴巴儿地
babai 拔白
babaizhijiao 八拜之交
babajiejie 巴巴结结
babaocai 八宝菜
babaofan 八宝饭
babaozhou 八宝粥
babeizi 八辈子
babenseyuan 拔本塞原
babi 罢笔
babiao 靶标
babing 把柄
babosa 巴博萨
babude 巴不得
bachang 把场
bachang 靶场
bache 扒车
bacheng 八成
bachi 把持
bachi 霸持
bachibuding 把持不定
bachu 拔除
bachubaijia 罢黜百家
bacuichuqun 拔萃出群
bada 吧嗒
badai 八代
badao 霸道
badaoxiangzhu 拔刀相助
badiao 拔掉
badingchouxie 拔丁抽楔
badiyaoshan 拔地摇山
badiyitian 拔地倚天
badou 巴豆
badou 笆斗
badoucai 八斗才
badouzhicai 八斗之才
baduo 把舵
baergou 叭儿狗
baergou 巴儿狗
bafanghuying 八方呼应
bafanjiaoji 把饭叫饥
bafener 拔份儿
bafeng 把风
bafenshu 八分书
baganzidabuzhao 八竿子打不着
bagao 拔高
bagaowangshang 巴高望上
bage 八哥
bagong 罢工
bagua 八卦
baguajiao 八卦教
baguan 把关
baguan 罢官
baguanling 岜关岭
baguanzi 拔罐子
baguolianjun 八国联军
baguwen 八股文
baha 吧哈
bahai 拔海
bahangshu 八行书
bahe 拔河
bahe 灞河
bahen 疤痕
bahuangzhiwai 八荒之外
bahuoguaner 拔火罐儿
bahuotong 拔火筒
bahuzizi 跋扈自恣
bai 白 百 摆 败 拜 柏 呗 掰 稗 擺 敗 佰 捭 襬 蛽 唄 㼟 㿟 䳆 㗗 㼣 䙓 兡 栢 矲 粨 絔 㗑 㠔 䒔 䢙 䥯 䴽 庍 拝 粺 薭 贁 鞁
bai1 掰
bai2 白 㼟 㿟 䳆
bai3 百 摆 柏 擺 佰 捭 襬 㗗 㼣 䙓 兡 栢 矲 粨 絔
bai4 败 拜 呗 稗 敗 蛽 唄 㗑 㠔 䒔 䢙 䥯 䴽 庍 拝 矲 粺 薭 贁 鞁
baiaiai 白皑皑
baiaixing 白矮星
baian 白案
baibai 白白 拜拜
baiban 白版
baiban 白班
baibandiaonan 百般刁难
baibaoxiang 百宝箱
baibaozhi 白报纸
baibazi 拜把子
baibei 败北
baibi 败笔
baibing 败兵
baibiqingying 白璧青蝇
baibiweixia 白璧微瑕
baibiwuxia 白璧无瑕
baibizi 白鼻子
baibu 摆布
baibu 白醭
baibuchuanyang 百步穿杨
baibucilie 白不呲咧
baibushiyi 百不失一
baibuyicun 百不一存
baicai 白菜
baicao 败草
baicha 白茬
baicha 白茶
baichan 拜忏
baichenyi 白衬衣
baichi 白痴
baichidiandeng 白炽电灯
baichigantou 百尺竿头，更进一步
baichu 百出
baichuanguihai 百川归海
baichunlu 白唇鹿
baici 拜辞
baicu 白醋
baida 白搭
baidai 白带
baidaiwenzong 百代文宗
baidang 摆荡
baidang 白党
baidao 摆到
baidaoyuanmen 拜倒辕门
baideruxing 败德辱行
baidi 白地
baidi 白底
baidianfeng 白癜风
baidingsuke 白丁俗客
baidong 摆动
baidu 百度 百毒 摆渡 拜读
baiduandaiju 百端待举
baiduba 百度吧
baidubaike 百度百科
baidubuyan 百读不厌
baiduhao 百度好
baidusouba 百度搜霸
baiduzhidao 百度知道
baie 白垩
baiensishi 拜恩私室
baierbashi 百儿八十
baifabaizhong 百发百中
baifacangyan 白发苍颜
baifahongyan 白发红颜
baifan 白矾
baifang 拜访
baifanqingchu 白饭青刍
baifaqianzhang 白发千丈
baifaqingshan 白发青衫
baifei 白费
baifeidaiju 百废待举
baifeijuxing 百废俱兴
baifeila 白费蜡
baifen 白粉
baifenbi 百分比
baifenbiao 百分表
baifenchi 百分尺
baifendian 百分点
baifener 摆份儿
baifenhao 百分号
baifenhao ％
baifenlv 百分率
baifenshu 百分数
baifenzhi 百分制
baifenzhibai 百分之百
baifo 拜佛
baifu 拜服
baigan 百感
baiganer 白干儿
baiganjiaoji 百感交集
baigong 白宫
baiguaizi 韛拐子
baiguanyeshi 稗官野史
baiguizhidian 白圭之玷
baigujing 白骨精
baiguo 白果
baiguoer 白果儿
baihao 摆好
baihe 拜贺
baihe 白鹤
baiheifenming 白黑分明
baihongguanri 白虹贯日
baihou 白喉
baihua 摆划
baihua 白化
baihua 白桦
baihua 白花
baihuabing 白化病
baihuahua 白花花
baihuanghuang 白晃晃
baihuaqifang 百花齐放
baihuaqifangbaijiazhengming 百花齐放，百家争鸣
baihuashi 白话诗
baihuawen 白话文
baihuazhiyuan 白华之怨
baihui 拜会
baihui 白灰
baihuiqianba 百卉千葩
baihun 白混
baihuo 百货
baihuo 败火
baihuojiao 拜火教
baihuxing 白虎星
baiji 白芨
baiji 败绩
baijia 败家
baijian 拜见
baijian 摆件
baijiangfenghou 拜将封侯
baijiaxing 百家姓
baijiazhengming 百家争鸣
baijiazi 摆架子
baijiazi 败家子
baijie 拜节
baijin 拜金
baijin 白金
baijing 白净
baijinhangong 白金汉宫
baijitun 白鱀豚
baijiu 白酒
baijuan 白卷
baijubaiquan 百举百全
baijuguoxi 白驹过隙
baijukonggu 白驹空谷
baijunzhijiang 败军之将
baikaishui 白开水
baike 拜客
baike 百科
baikequanshu 百科全书
baikongqianchuang 百孔千疮
baikoumobian 百口莫辩
baikuaner 摆款儿
baikuo 摆阔
baila 白镴
bailamingjing 白蜡明经
bailandi 白兰地
bailei 败类
baileitai 摆擂台
baili 白痢
bailian 白蔹
bailianchenggang 百炼成钢
bailiang 白亮
bailianjiao 白莲教
bailiaoqiandang 百了千当
bailie 摆列
bailin 白磷
bailincanjia 败鳞残甲
bailing 白蛉
bailing 白领
bailingbaili 百伶百俐
bailingmeishou 百龄眉寿
bailingniao 百灵鸟
bailitiaoyi 百里挑一
bailiucanhua 败柳残花
bailongmenzhen 摆龙门阵
bailongyufu 白龙鱼服
bailu 白露
bailu 白鹭
bailu 败露
bailun 摆轮
bailuo 败落
baima 白马
baimangmang 白茫茫
baimao 白茅
baimaofeng 白毛风
baimaohuangyue 白旄黄钺
baimawangzi 白马王子
baimei 白煤
baimeichiyan 白眉赤眼
baimeng 拜盟
baimengmeng 白蒙蒙
baimenmian 摆门面
baimianer 白面儿
baimianshusheng 白面书生
baimiao 白描
baimifan 白米饭
baimingdan 白名单
baimuer 白木耳
bainaben 百衲本
bainayi 百衲衣
baineizhang 白内障
bainen 白嫩
bainian 拜年
bainian 百年
bainianbuyu 百年不遇
bainiandaji 百年大计
bainianjiehui 百念皆灰
bainianshuren 百年树人
bainianzhibing 百年之柄
bainianzhihao 百年之好
bainianzhihou 百年之后
bainiaochaofeng 百鸟朝凤
bainong 摆弄
baipao 白跑
baipiao 白票
baiping 摆平
baipishu 白皮书
baipisong 白皮松
baipuer 摆谱儿
baiqi 白契
baiqi 白旗
baiqian 白铅
baiqiang 白镪
baiqiaoqianqiong 百巧千穷
baiqitun 白鳍豚
baiqu 白区
bairao 白饶
baire 白热
bairehua 白热化
bairen 拜认
bairen 白人
bairen 白刃
bairenzhan 白刃战
bairi 白日
bairijiangui 白日见鬼
bairike 百日咳
bairishengtian 白日升天
bairiweixin 百日维新
bairiyixiu 白日衣绣
bairizhuang 白日撞
bairizuomeng 白日做梦
bairou 白肉
bairun 白润
baisao 拜扫
baise 白色
baisekongbu 白色恐怖
baisensen 白森森
baiseshouru 白色收入
baisewuran 白色污染
baishan 白鳝
baishanheishui 白山黑水
baishe 摆设
baishechongjian 百舍重茧
baisheng 百胜
baishenheshu 百身何赎
baishezhisheng 百舌之声
baishi 拜师
baishi 拜识
baishi 白事
baishi 白食
baishi 百十
baishibumo 百世不磨
baishishi 百世师
baishitong 百事通
baishou 拜寿
baishou 摆手
baishoubeimian 白首北面
baishouqijia 白手起家
baishouqiongjing 白首穷经
baishouxiangzhi 白首相知
baishouzhixin 白首之心
baishu 柏树
baishu 白薯
baishu 白鼠
baishui 白水
baishuo 白说
baisi 百思
baisibujie 百思不解
baisu 白苏
baisu 败诉
baisuiqianqiu 百岁千秋
baitang 拜堂
baitang 白汤
baitang 白糖
baitanzi 摆摊子
baitao 白陶
baiti 白体
baitian 白天
baitian 白田
baitiandi 拜天地
baitiao 白条
baitie 白铁
baiting 白厅
baitong 白铜
baitouruxin 白头如新
baitouweng 白头翁
baitouxiangshou 白头相守
baitouxielao 白头偕老
baitui 败退
baituo 拜托 摆脱
baiwan 百万 拜完
baiwaner 白玩儿
baiwang 拜望
baiwang 败亡
baiwangheilai 白往黑来
baiwanxiongshi 百万雄师
baiwanzi 掰腕子
baiwei 百味
baiwei 败胃
baiwen 白文
baiwenburuyijian 百闻不如一见
baiwu 百物
baiwuhanmen 白屋寒门
baiwujiao 拜物教
baiwujinji 百无禁忌
baiwuliaolai 百无聊赖
baiwuyishi 百无一失
baiwuyishi 百无一是
baiwuyiyong 百无一用
baixi 白皙
baixian 白鹇
baixiang 白相
baixiang 白鲞
baixiang 百响
baixiangren 白相人
baixibao 白细胞
baixie 拜谢
baixie 败谢
baixiuquejin 摆袖却金
baixueaiai 白雪皑皑
baixuebing 白血病
baixueqiu 白血球
baixuezheng 败血症
baiyanerlang 白眼儿狼
baiyangzuo 白羊座
baiyanxiangkan 白眼相看
baiyanzhu 白眼珠
baiyao 白药
baiye 拜谒
baiye 白夜
baiye 白页
baiye 百叶
baiye 败叶
baiyechuang 百叶窗
baiyexiang 百叶箱
baiyexiaotiao 百业萧条
baiyi 白翳
baiyi 白蚁
baiyi 白衣
baiyibaishun 百依百顺
